month_date,latitude,longitude,magnitude,depth,sig,mmi,cdi
2022-11-01,-9.7963,159.596,7.0,14.0,768,7,8
2022-11-01,-4.9559,100.738,6.9,25.0,735,4,4
2022-11-01,-20.0508,-178.346,7.0,579.0,755,3,3
2022-11-01,-19.2918,-172.129,7.3,37.0,833,5,5
2022-11-01,-25.5948,178.278,6.6,624.464,670,2,0
2022-11-01,-26.0442,178.381,7.0,660.0,755,3,4
2022-11-01,-25.9678,178.363,6.8,630.379,711,3,1
2022-10-01,7.6712,-82.3396,6.7,20.0,797,6,7
2022-09-01,18.33,-102.913,6.8,20.0,1179,7,8
2022-09-01,18.3667,-103.252,7.6,26.943,1799,8,9
2022-09-01,23.1444,121.307,6.9,10.0,887,9,9
2022-09-01,23.029,121.348,6.5,10.0,756,7,7
2022-09-01,-21.2077,170.239,7.0,137.0,761,5,7
2022-09-01,-6.2237,146.471,7.6,116.0,965,8,8
2022-09-01,29.7263,102.279,6.6,12.0,1043,8,9
2022-08-01,-32.6922,-178.959,6.6,30.0,672,6,7
2022-07-01,17.5978,120.809,7.0,33.729,1351,8,9
2022-06-01,-9.0618,-71.1647,6.5,622.73,653,2,3
2022-05-01,-14.8628,-70.3081,7.2,236.0,876,5,7
2022-05-01,-54.1325,159.027,6.9,10.0,733,5,2
2022-05-01,-23.6141,-66.7236,6.8,220.0,762,5,6
2022-04-01,11.5538,-86.9919,6.6,27.0,762,5,6
2022-03-01,-22.5732,170.349,7.0,10.0,763,4,6
2022-03-01,-22.72,170.277,6.9,10.0,738,4,6
2022-03-01,23.3421,121.636,6.7,24.0,806,7,8
2022-03-01,37.7015,141.587,7.3,41.0,2397,8,9
2022-03-01,-0.6831,98.6034,6.7,28.0,708,6,9
2022-03-01,-30.0528,-177.74,6.6,24.0,670,7,2
2022-02-01,-23.7852,-179.968,6.8,535.0,712,3,2
2022-02-01,-4.455,-76.9395,6.5,110.0,690,6,8
2022-01-01,-29.535,-176.729,6.5,8.0,651,4,7
2022-01-01,-6.9291,105.251,6.6,33.0,785,6,8
2022-01-01,52.502,-168.08,6.5,37.0,650,3,0
2022-01-01,52.502,-168.08,6.5,37.0,650,3,0
2022-01-01,52.6252,-168.15,6.6,19.0,674,5,8
2022-01-01,52.48,-167.736,6.7,33.0,691,4,0
2022-01-01,52.48,-167.736,6.7,33.0,691,4,0
2022-01-01,52.6563,-167.917,6.8,20.0,730,6,7
2022-01-01,35.1456,31.9095,6.6,21.0,976,6,6
2022-01-01,37.8167,101.299,6.6,13.0,1012,8,9
2021-12-01,-7.5924,127.581,7.3,165.49,921,7,8
2021-12-01,-7.6033,122.2,7.3,14.27,854,5,9
2021-11-01,-4.4898,-76.8461,7.5,126.0,1094,8,8
