cell_id,month_date,count_last_1m,count_last_3m,count_last_6m,max_mag_last_3m,max_mag_last_6m,avg_mag_last_6m,avg_depth_last_6m,max_depth_last_6m,max_sig_last_3m,avg_mmi_last_3m,avg_cdi_last_3m,months_since_last_quake,trend_3m_minus_6m_avg,max_mag_last_12m
-0.5_119.5,2018-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-0.5_132.5,2009-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-0.5_133.0,2004-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-1.0_128.0,2019-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-1.0_131.0,2015-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-1.0_133.0,2001-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-1.0_133.0,2009-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,0.0,0.0
-1.0_98.5,2022-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-1.0_99.5,2009-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-1.5_-77.5,2010-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-1.5_120.0,2017-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-1.5_126.5,2007-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-1.5_99.0,2009-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-10.0_159.0,2007-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-10.0_159.5,2001-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-10.0_159.5,2022-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,0.0,0.0
-10.5_-71.5,2015-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-10.5_107.0,2013-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-10.5_160.5,2003-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-10.5_161.0,2011-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-10.5_161.0,2017-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0.0,0.0
-10.5_161.5,2018-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-10.5_165.0,2015-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-10.5_165.5,2013-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.0_-71.0,2015-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.0_161.0,2010-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.0_161.0,2010-06-01,0,1,1,6.9,6.9,6.9,21.0,21.0,740.0,5.0,4.0,2,0.5,6.9
-11.0_161.0,2016-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,0.0,0.0
-11.0_161.0,2016-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,0.0,0.0
-11.0_161.0,2016-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,0.0,0.0
-11.0_162.0,2004-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.0_162.0,2007-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0
-11.0_164.0,2015-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.0_165.0,2013-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.0_165.5,2013-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.0_165.5,2013-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.0_165.5,2013-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.0_166.0,2013-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.5_-71.0,2018-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-11.5_162.0,2004-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
